"Sample_ID","Site_ID","Site_Name","Latitude","Longitude","Elevation","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Dex","d18O.off","d18O.off.pw","d2H.off","d2H.off.pw","d18O.oc","d2H.oc","d2H.irms","d18O.irms","BaseShift","SlopeShift","Residuals","BaseCurve","CH4","Instrument"
"22-304_UNDE4-D-3","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Picea mariana",-68.4176642666,-6.2290035895,NA,0.400213617918411,0.0518828935696704,NA,"SPATIAL",384,"UNDE4",-18.5856355506,1.04781659701335,0.741379323702406,-0.26648921080112,8.36175946831528,-7.27682018651335,-68.1511750557989,-67,-7.5,3.2948,-1.83315,0.0574499999999998,-0.0786499999999961,-0.50795,"HIDS2046"
"22-304_UNDE4-D-5","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Picea mariana",-80.536227703,-9.0893282463,NA,0.395863085225175,0.0432085640398802,NA,"SPATIAL",384,"UNDE4",-7.8216017326,1.56248745585798,0.742138188414939,-0.342695365670709,8.3626294193532,-10.651815702158,-80.1935323373293,-86,-10.7,3.5333,0.597349999999999,0.2047,3.0711,-0.61145,"HIDS2046"
"23-011_TALL5-B-4","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"Stem","2021-07-22 00:00:00",NA,"2021-07-22 00:00:00",5,NA,NA,"Liquidambar styraciflua",-24.2381349918,-0.6927051209,NA,0.491760724698063,0.0710335001918499,NA,"SPATIAL",384,"TALL5",-18.6964940246,3.82203983268973,0.740379884441057,1.29033058921929,8.35061803911137,-4.51474495358973,-25.5284655810193,-32,-4.6,291.91465,-12.72085,0.45035,-3.2437,-2.15515,"HIDS2046"
"23-028_HARV6-C-1","HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"Stem","2021-10-14 00:00:00",NA,"2021-10-14 00:00:00",5,NA,NA,"Pinus strobus",-60.1483994088,-6.7532769138,NA,0.407288727119735,0.0484940101392427,NA,"SPATIAL",384,"HARV6",-6.12218409840001,2.72784880769193,0.752660566433681,1.1857520265624,8.35096980985488,-9.48112572149193,-61.3341514353624,-65,-9.5,196.16655,-12.43755,0.0263999999999998,2.06055000000001,-2.0612,"HIDS2052"
"23-063_UNDE5-A-4","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-09-15 00:00:00",NA,"2021-09-15 00:00:00",6,NA,NA,"Acer saccharum",-81.177093928,-9.4005086551,NA,0.408780195333857,0.048302814830537,NA,"SPATIAL",384,"UNDE5",-5.97302468720001,1.21541806594634,0.739728541872305,0.990922166301999,8.35177763906202,-10.6159267210463,-82.168016094302,-88,-10.7,438.6731,-18.08685,-0.0225999999999997,-2.44985000000001,-1.23415,"HIDS2052"
"23-063_UNDE5-E-2","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-09-15 00:00:00",NA,"2021-09-15 00:00:00",6,NA,NA,"Abies balsamea",-60.9836231517,-7.3862080484,NA,0.381670139243782,0.047661352948833,NA,"SPATIAL",384,"UNDE5",-1.8939587645,0.674912739305769,0.741434677151859,-0.299461724220195,8.36213216313154,-8.06112078770577,-60.6841614274798,-64,-8,5.27409999999986,-1.0581,-0.00660000000000016,0.550899999999999,-0.3499,"HIDS2052"
"23-079_CLBJ4-C-3","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-07-30 00:00:00",NA,"2021-07-30 00:00:00",6,NA,NA,"Smilax bona-nox",-18.5803745454,-2.1471759445,NA,0.460536769188346,0.0594343806500358,NA,"SPATIAL",384,"CLBJ4",-1.4029669894,0.435966939777595,0.741096176660279,-0.194506747516362,8.36096550992017,-2.58314288427759,-18.3858677978836,-17,-2.5,212.2115,-8.1717,0.048,-4.03655,-0.2638,"HIDS2046"
"23-079_CLBJ4-E-1","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-07-30 00:00:00",NA,"2021-07-30 00:00:00",6,NA,NA,"Quercus stellata",-39.4337271955,-4.3678488922,NA,0.395760335643329,0.0532741746042976,NA,"SPATIAL",384,"CLBJ4",-4.4909360579,0.402811986182539,0.739973407600568,-0.0299204949815939,8.3592515698963,-4.77066087838254,-39.4038067005184,-44,-4.9,287.6625,-11.67945,-0.00724999999999953,-7.40155,-0.4243,"HIDS2046"
"23-079_CLBJ4-E-3","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-07-30 00:00:00",NA,"2021-07-30 00:00:00",6,NA,NA,"Quercus stellata",-37.587357715,-3.827238379,NA,0.401491094667297,0.0515394634304998,NA,"SPATIAL",384,"CLBJ4",-6.969450683,0.592699846020769,0.74115449224465,-0.0282156657311628,8.35923455516789,-4.41993822502077,-37.5591420492688,-38,-4.3,292.12775,-11.23795,0.0587500000000003,-5.44905,-0.44355,"HIDS2046"
"23-079_CLBJ5-A-3","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Sorghastrum nutans",-10.2836829036,-1.7300313456,NA,0.481183718299339,0.057528076635517,NA,"SPATIAL",384,"CLBJ5",3.5565678612,0.853743755747231,0.74090545161055,-0.259768041249789,8.36168419228681,-2.58377510134723,-10.0239148623502,-18,-2.3,44.728,-3.0927,0.0882500000000004,0.0219500000000039,-0.33805,"HIDS2046"
"23-079_CLBJ5-C-2","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Smilax bona-nox",-28.695049884,-4.8086284725,NA,0.430675021443831,0.0474990779427622,NA,"SPATIAL",384,"CLBJ5",9.773977896,0.304136729634447,0.742218584203162,-0.169634738142568,8.36069744868295,-5.11276520213445,-28.5254151458574,-28,-5.1,272.36875,-10.4702,0.036,-5.07555,-0.2463,"HIDS2046"
"23-079_CLBJ5-C-4","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Smilax bona-nox",-32.313854326,-4.6763506917,NA,0.425987986706511,0.0489709284281071,NA,"SPATIAL",384,"CLBJ5",5.0969512076,0.519908290994342,0.740720152975518,-0.146922741117982,8.36045548246795,-5.19625898269434,-32.166931584882,-32,-5.5,227.07075,-8.79745,0.05125,-4.42355,-0.33705,"HIDS2046"
"23-079_CLBJ5-D-4","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Schizachyrium scoparium",-9.2792192664,0.1125693332,NA,0.513425202698209,0.0668136454794069,NA,"SPATIAL",384,"CLBJ5",-10.179773932,1.23627953212895,0.740463826677487,-0.218854890870929,8.36123104662799,-1.12371019892895,-9.06036437552907,-18,-0.7,70.7864,-3.1415,0.14095,0.326150000000005,-0.55435,"HIDS2046"
"23-079_CLBJ5-E-5","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Quercus stellata",-27.0914377568,-2.5479073094,NA,0.43663763166335,0.0565135902871985,NA,"SPATIAL",384,"CLBJ5",-6.7081792816,1.2857904379454,0.741433133226843,0.319841310201671,8.35607824635008,-3.8336977473454,-27.4112790670017,-22,-3.9,345.941,-13.2342,0.16325,-5.4068,-0.82405,"HIDS2046"
"23-080_SJER5-A-2","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Pinus sabiniana",-57.9846916196,-1.5129912746,NA,0.455597579427938,0.085745736351033,NA,"SPATIAL",384,"SJER5",-45.8807614228,4.13221034560561,0.78490299402656,2.79383316435616,8.35188280994186,-5.64520162020561,-60.7785247839562,-63,-5.8,220.0251,-16.6439,0.0194000000000001,0.702250000000006,-3.1839,"HIDS2052"
