"Sample_ID","Site_ID","Site_Name","Latitude","Longitude","Elevation","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Dex","Species","BaseShift","SlopeShift","Residuals","BaseCurve","CH4","Instrument","d18O.off","d2H.off","d18O.oc","d2H.oc"
"20-196_NIWO1-E-5","NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"Stem","",NA,"2020-08-17 00:00:00",6,NA,NA,"Salix sp.",-131.2864452622,-11.8880922346,NA,0.133167214865344,0.0168503472337545,NA,"SPATIAL",384,"NIWO1",-36.1817073854,"Salix sp.",140.61125,-6.5316,-0.1491,-5.4718,0.0670000000000002,"HIDS2046",-0.409270951742569,-0.346949345775963,-11.4788212828574,-130.939495916424
"20-196_SCBI1-A-1","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","",NA,"2020-08-13 00:00:00",5,NA,NA,"Liriodendron tulipifera",-42.2759806927,-5.1095069015,NA,0.0644438714499324,0.0226484927532329,NA,"SPATIAL",384,"SCBI1",-1.39992548070001,"Liriodendron tulipifera",0.505299999999991,-0.5136,0.0406000000000004,0.268899999999995,-0.11425,"HIDS2046",0.498154550322017,-0.317775585863956,-5.60766145182202,-41.958205106836
"20-196_SCBI1-A-2","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","",NA,"2020-08-13 00:00:00",5,NA,NA,"Liriodendron tulipifera",-33.5346630964,-0.4294169007,NA,0.149704356501847,0.120092268573223,NA,"SPATIAL",384,"SCBI1",-30.0993278908,"Liriodendron tulipifera",405.2053,-18.60985,0.57485,-3.67885,-2.50875,"HIDS2046",4.45480927157949,2.42320339112179,-4.88422617227949,-35.9578664875218
"20-196_SCBI1-A-3","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","",NA,"2020-08-13 00:00:00",5,NA,NA,"Liriodendron tulipifera",-47.7251866496,-6.0615410157,NA,0.237216161642038,0.0274932583868774,NA,"SPATIAL",384,"SCBI1",0.767141475999999,"Liriodendron tulipifera",0.205299999999994,-0.183349999999997,0.0503500000000003,0.777899999999995,-0.0805,"HIDS2046",0.480077831162206,-0.320357283093624,-6.5416188468622,-47.4048293665064
"20-196_SCBI1-A-4","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","",NA,"2020-08-13 00:00:00",5,NA,NA,"Liriodendron tulipifera",-31.5016077926,-0.3573206274,NA,0.296899762455612,0.120219222447876,NA,"SPATIAL",384,"SCBI1",-28.6430427734,"Liriodendron tulipifera",342.9847,-16.9981,0.612333333333333,-3.21870000000001,-2.65436666666667,"HIDS2046",4.82111473066099,2.33101573288691,-5.17843535806099,-33.8326235254869
"20-196_SCBI1-A-5","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","",NA,"2020-08-13 00:00:00",5,NA,NA,"Liriodendron tulipifera",-40.5384290077,-4.5891647417,NA,0.0488707777928498,0.0186348538876515,NA,"SPATIAL",384,"SCBI1",-3.8251110741,"Liriodendron tulipifera",-0.0131999999999977,-0.361599999999999,0.0448500000000003,0.714649999999999,-0.0355000000000001,"HIDS2046",0.407873696322194,-0.320470315424312,-4.99703843802219,-40.2179586922757
"20-196_SCBI1-B-1","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","",NA,"2020-08-13 00:00:00",5,NA,NA,"Quercus rubra",-37.8129481413,-3.3493648506,NA,0.152456470651029,0.0264717949660416,NA,"SPATIAL",384,"SCBI1",-11.0180293365,"Quercus rubra",-0.426050000000004,-0.771100000000001,-0.00099999999999989,-0.809450000000012,-0.1197,"HIDS2046",0.398785611837699,-0.315799192011955,-3.7481504624377,-37.497148949288
"20-196_SCBI1-B-2","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","",NA,"2020-08-13 00:00:00",5,NA,NA,"Quercus rubra",-40.7662457783,-4.170742798,NA,0.151652786242658,0.0473564849297073,NA,"SPATIAL",384,"SCBI1",-7.4003033943,"Quercus rubra",0.0102999999999867,-0.415099999999999,0.0441000000000003,1.14315,0.0125,"HIDS2046",0.343761399222967,-0.321529911044631,-4.51450419722297,-40.4447158672554
"20-196_SCBI1-B-3","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","",NA,"2020-08-13 00:00:00",5,NA,NA,"Quercus rubra",-42.8329188168,-3.4445432196,NA,0.343079731756966,0.135969487168989,NA,"SPATIAL",384,"SCBI1",-15.27657306,"Quercus rubra",0.711700000000008,-2.6626,-0.0852499999999998,-3.18995,-0.2002,"HIDS2046",0.283539148539859,-0.289890482990176,-3.72808236813986,-42.5430283338098
"20-196_SCBI1-B-4","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","",NA,"2020-08-13 00:00:00",5,NA,NA,"Quercus rubra",-35.5038302138,-2.3779190921,NA,0.0477328711063771,0.0474662537026532,NA,"SPATIAL",384,"SCBI1",-16.480477477,"Quercus rubra",434.5925,-16.3386,0.2424,-5.20780000000001,-1.1075,"HIDS2046",1.74240519073865,0.74245316834271,-4.12032428283865,-36.2462833821427
"20-196_SCBI1-B-5","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","",NA,"2020-08-13 00:00:00",5,NA,NA,"Quercus rubra",-30.4790164878,-2.9438196062,NA,0.210862226747981,0.0663027302657282,NA,"SPATIAL",384,"SCBI1",-6.9284596382,"Quercus rubra",496.0888,-19.14985,0.22635,-7.44985,-1.355,"HIDS2046",1.94142868835425,1.20407872053161,-4.88524829455425,-31.6830952083316
